setting,train_tickers,test_case,test_tickers,algo,final_value,total_return,max_drawdown,sharpe,daily_return_mean,daily_return_var,episodes
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",A2C,12012.402210235596,0.2012402210235595,-0.3273242194466639,0.6678498433873302,0.0012267140578194322,0.0008502165768158235,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",AlwaysBuy,13904.081851959229,0.3904081851959229,-0.1492266646284728,1.7842959341198676,0.0015332066460306106,0.0001860664857987496,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",DQN,14334.104881286621,0.43341048812866206,-0.11749224620543579,1.9165311409324266,0.0016684996714939494,0.00019099457469143457,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",Random,13112.689976921081,0.31126899769210814,-0.16041634450691677,1.4771090874894963,0.0012510637999614113,0.0001845724950298507,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",A2C,14333.160064697266,0.4333160064697266,-0.12861631557034164,1.6739232984215238,0.0017044533849680762,0.0002612761024705658,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",AlwaysBuy,13563.119979858398,0.35631199798583985,-0.10109881087574005,1.8202496926527414,0.00140683785820059,0.00015053126157066484,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",DQN,12773.370025634766,0.2773370025634765,-0.12250689608327918,1.4693764308908044,0.0011461080351109593,0.00015331530683093992,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",Random,12785.647218322754,0.2785647218322754,-0.10352414598765641,1.6410128168840217,0.001123646434085164,0.000119394846947423,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",A2C,11946.70147895813,0.19467014789581305,-0.14069746760077684,1.0634714859220806,0.0008590000301408197,0.00016441263847377736,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",AlwaysBuy,15588.588771820068,0.5588588771820069,-0.1692298466071766,1.8326895819278557,0.002106314086102486,0.0003328656517687804,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",DQN,13236.757511138916,0.32367575111389174,-0.2692468333473283,0.9453391275714624,0.001573089161580374,0.000697801584044613,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",Random,14209.89579181671,0.4209895791816712,-0.17815084215054725,1.543569511759997,0.0016451570730624198,0.0002919508905143888,50
SINGLE,AAPL,single_same_ticker,AAPL,A2C,10237.699432373047,0.023769943237304636,-0.014152285926291332,1.3145530616832894,0.00010336811709239338,1.558179581154061e-06,50
SINGLE,AAPL,single_same_ticker,AAPL,AlwaysBuy,12614.500045776367,0.2614500045776367,-0.14930103830384936,1.454268411119701,0.001084864919699301,0.00014023703835563844,50
SINGLE,AAPL,single_same_ticker,AAPL,AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
SINGLE,AAPL,single_same_ticker,AAPL,DQN,10987.301666259766,0.09873016662597657,-0.1167259300882917,0.9187369068340207,0.0004402395239199488,5.7862377612347e-05,50
SINGLE,AAPL,single_same_ticker,AAPL,Random,11167.973872680664,0.1167973872680664,-0.08705858533504551,1.2086727543285927,0.000494953100040803,4.353122617667305e-05,50
SINGLE,AAPL,single_unseen_1,MSFT,A2C,10669.797821044922,0.06697978210449218,-0.028192963935222807,1.5829223460745738,0.00028728487128265525,8.300549288648825e-06,50
SINGLE,AAPL,single_unseen_1,MSFT,AlwaysBuy,14351.84033203125,0.435184033203125,-0.13111615440726893,1.8128561902835683,0.001687482078254512,0.0002183494846597741,50
SINGLE,AAPL,single_unseen_1,MSFT,AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
SINGLE,AAPL,single_unseen_1,MSFT,DQN,12975.28173828125,0.297528173828125,-0.0817215635342194,1.7043258614273498,0.0012003844280370597,0.00012500747368516046,50
SINGLE,AAPL,single_unseen_1,MSFT,Random,12242.13091003418,0.224213091003418,-0.0847751813386234,1.566743151613161,0.00091606061072274,8.592319640807856e-05,50
SINGLE,AAPL,single_unseen_2,AMZN,A2C,10553.100357055664,0.055310035705566474,-0.02257000732421875,1.6179264795466128,0.00023782272938244778,5.4448973002001565e-06,50
SINGLE,AAPL,single_unseen_2,AMZN,AlwaysBuy,14923.540176391602,0.49235401763916004,-0.17411548859289602,1.619352319133482,0.0019273273169463027,0.00035696760002489525,50
SINGLE,AAPL,single_unseen_2,AMZN,AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
SINGLE,AAPL,single_unseen_2,AMZN,DQN,13012.470504760742,0.30124705047607425,-0.15692916164591408,1.3173180906271202,0.0012665316081426504,0.00023294387420244068,50
SINGLE,AAPL,single_unseen_2,AMZN,Random,12319.455643157959,0.23194556431579588,-0.10193900260852688,1.4655524495498224,0.0009482257425128394,0.00010813177795501605,50
SINGLE,AAPL,single_unseen_3,GOOGL,A2C,10610.000228881836,0.06100002288818352,-0.01759145456685904,1.9752831088270943,0.00026079062101019385,4.392641673208851e-06,50
SINGLE,AAPL,single_unseen_3,GOOGL,AlwaysBuy,13986.600189208984,0.3986600189208985,-0.13060844872996114,1.4942911278559732,0.0016136619941097376,0.00029386999506616075,50
SINGLE,AAPL,single_unseen_3,GOOGL,AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
SINGLE,AAPL,single_unseen_3,GOOGL,DQN,15272.320922851562,0.5272320922851563,-0.06486284944089055,2.4056332767530146,0.0019314547008175737,0.00016244664608682958,50
SINGLE,AAPL,single_unseen_3,GOOGL,Random,11531.068335266113,0.15310683352661134,-0.08644957448441631,1.1171546045530165,0.0006506124173432755,8.729130248559227e-05,50
